raw_track_id,track_id
1379888,1379888
1379893,1379893
1379896,1379896
1379908,1379908
1379909,1379909
1379912,1379912
1379913,1379913
1379915,1379915
1379919,1379919
1379920,1379920
1379921,1380677
1379922,1379922
1379923,1379923
1379925,1379925
1379927,1379927
1379934,1379934
1379943,1379943
1379947,1379947
1379948,1379948
1379951,1379951
1379952,1379952
1379955,1379955
1379956,1379956
1379959,1379959
1379967,1379967
1379970,1379970
1379971,1379971
1379972,1380625
1379973,1379973
1379982,1379982
1379984,1379984
1379985,1379985
1379987,1379987
1379991,1379991
1379994,1379994
1379998,1379998
1380000,1380000
1380004,1380004
1380005,1380005
1380006,1380006
1380016,1380016
1380019,1380080
1380030,1380030
1380031,1380031
1380036,1380036
1380038,1380038
1380039,1380039
1380044,1380044
1380045,1380045
1380049,1380049
1380063,1380063
1380065,1380065
1380068,1380068
1380072,1380072
1380079,1380079
1380080,1380080
1380082,1380172
1380086,1380086
1380088,1380088
1380092,1380092
1380093,1380093
1380094,1380094
1380095,1380095
1380096,1380096
1380110,1380110
1380111,1380111
1380114,1380114
1380115,1380377
1380116,1380116
1380118,1380118
1380121,1380121
1380125,1380125
1380126,1380126
1380128,1380128
1380129,1380129
1380131,1380131
1380132,1380132
1380135,1380135
1380136,1380136
1380143,1380143
1380144,1380144
1380145,1380145
1380150,1380377
1380152,1380152
1380155,1380155
1380156,1389864
1380158,1380228
1380172,1380172
1380178,1380178
1380179,1380179
1380180,1380180
1380182,1380182
1380184,1380184
1380186,1380186
1380187,1380187
1380188,1380188
1380191,1380191
1380193,1380193
1380194,1380194
1380195,1380195
1380197,1380197
1380200,1380200
1380201,1380201
1380203,1380203
1380204,1380204
1380205,1380205
1380228,1380228
1380229,1380229
1380231,1380231
1380234,1380234
1380235,1380235
1380242,1380242
1380243,1380243
1380244,1380244
1380254,1380254
1380257,1380257
1380263,1380263
1380265,1380265
1380267,1380267
1380271,1380271
1380273,1380273
1380274,1380274
1380275,1380275
1380283,1380283
1380284,1380284
1380288,1380288
1380292,1380292
1380294,1380294
1380302,1380302
1380303,1380303
1380308,1380308
1380310,1380310
1380316,1380316
1380317,1380317
1380318,1380318
1380319,1380319
