device,date,aer_tmb,Cr_tmb,aer_ssm,Cr_ssm
Aranet4 272D2,2024-07-07,4.522748365070732,324.6649780784011,5.860153599151482,366.35
Aranet4 272D2,2024-07-08,7.938190000082804,394.05,6.000751429075153,394.05
Aranet4 272D2,2024-07-09,29.9680639639186,384.0,21.177076540547375,384.0
Aranet4 272D2,2024-07-10,8.298063736167789,302.6461948709961,7.406125392381438,362.0
Aranet4 272D2,2024-07-11,7.686546880153838,323.66382852782914,6.118018919592398,351.0
Aranet4 272D2,2024-07-12,6.01079319352219,329.5525330543208,5.2795648594040445,362.35
Aranet4 272D2,2024-07-13,6.250198172367508,300.0,5.894588729480531,361.35
Aranet4 272D2,2024-07-14,6.83162327303846,333.44391194555317,6.063898244524971,374.35
Aranet4 272D2,2024-07-15,9.200782954533537,330.34463578456615,6.078358054696228,376.35
Aranet4 272D2,2024-07-16,11.492107756886186,343.36690498912986,10.180428367962989,388.35
